,0
560,0.09385356
561,0.098006636
562,0.09966764
563,0.09468424
564,0.093023226
565,0.093023226
566,0.09385356
567,0.093023226
568,0.09385356
569,0.09634526
570,0.09468424
571,0.09634526
572,0.09385356
573,0.09634526
574,0.098006636
575,0.09717594
576,0.09717594
577,0.09634526
578,0.09634526
579,0.09551494
580,0.09634526
581,0.09551494
582,0.09634526
583,0.093023226
584,0.093023226
585,0.09717594
586,0.092192546
587,0.09468424
588,0.09551494
589,0.09634526
590,0.09468424
591,0.09468424
592,0.09634526
593,0.09551494
594,0.09883696
595,0.10049833
596,0.10465105
597,0.10299003
598,0.101328656
599,0.098006636
600,0.09966764
601,0.101328656
602,0.10215935
603,0.10631205
604,0.109634444
605,0.11212614
606,0.109634444
607,0.11295684
608,0.11960125
609,0.11710954
610,0.11295684
611,0.11129546
612,0.11295684
613,0.11794023
614,0.11710954
615,0.11794023
616,0.11461784
617,0.109634444
618,0.11129546
619,0.11627886
620,0.11960125
621,0.118770555
622,0.11710954
623,0.11627886
624,0.11710954
625,0.115448534
626,0.11295684
627,0.11378716
628,0.108803764
629,0.10714275
630,0.10797343
631,0.109634444
632,0.109634444
633,0.10797343
634,0.10797343
635,0.11295684
636,0.110465124
637,0.109634444
638,0.11295684
639,0.11295684
640,0.11378716
641,0.11129546
642,0.10797343
643,0.09634526
644,0.10215935
645,0.09966764
646,0.09717594
647,0.09634526
648,0.09883696
649,0.09717594
650,0.09717594
651,0.10548173
652,0.10465105
653,0.10215935
654,0.10299003
655,0.10299003
656,0.098006636
657,0.10299003
658,0.10215935
659,0.10215935
660,0.10299003
661,0.09966764
662,0.10299003
663,0.09966764
664,0.09966764
665,0.09966764
666,0.09966764
667,0.09966764
668,0.09883696
669,0.09966764
670,0.09966764
671,0.09966764
672,0.09883696
673,0.10049833
674,0.09966764
675,0.09634526
676,0.09468424
677,0.09468424
678,0.09468424
679,0.09385356
680,0.098006636
681,0.09634526
682,0.09634526
683,0.09551494
684,0.091361865
685,0.09468424
686,0.08637847
687,0.08970085
688,0.08970085
689,0.08970085
690,0.08471745
691,0.08803983
692,0.093023226
693,0.09883696
694,0.10215935
695,0.10299003
696,0.101328656
697,0.09966764
698,0.09883696
699,0.098006636
700,0.10299003
701,0.10215935
702,0.10299003
703,0.09883696
704,0.09883696
705,0.10215935
706,0.09717594
707,0.093023226
708,0.09551494
709,0.10465105
710,0.09966764
711,0.09717594
712,0.09551494
713,0.09551494
714,0.09634526
715,0.09385356
716,0.09883696
717,0.10215935
718,0.101328656
719,0.098006636
720,0.09468424
721,0.09551494
722,0.098006636
723,0.101328656
724,0.10215935
725,0.10215935
726,0.098006636
727,0.09717594
728,0.09966764
729,0.109634444
730,0.11461784
731,0.11295684
732,0.11129546
733,0.11378716
734,0.110465124
735,0.109634444
736,0.109634444
737,0.10631205
738,0.110465124
739,0.108803764
740,0.108803764
741,0.109634444
742,0.11129546
743,0.11295684
744,0.11794023
745,0.11461784
746,0.11295684
747,0.115448534
748,0.118770555
749,0.12956804
750,0.12790702
751,0.12292363
752,0.12624566
753,0.12624566
754,0.12292363
755,0.12126225
756,0.12043193
757,0.12209295
758,0.124584645
759,0.11960125
760,0.11794023
761,0.115448534
762,0.11295684
763,0.11378716
764,0.11295684
765,0.11378716
766,0.11461784
767,0.115448534
768,0.109634444
769,0.110465124
770,0.10299003
771,0.10714275
772,0.11295684
773,0.110465124
774,0.11295684
775,0.11295684
776,0.109634444
777,0.11295684
778,0.11295684
779,0.11212614
780,0.11627886
781,0.11960125
782,0.11960125
783,0.11960125
784,0.12541533
785,0.12292363
786,0.12292363
787,0.110465124
788,0.11129546
789,0.11129546
790,0.11129546
791,0.11794023
792,0.11710954
793,0.11710954
794,0.12126225
795,0.12292363
796,0.12292363
797,0.124584645
798,0.12956804
799,0.14119586
800,0.13289008
801,0.15282367
802,0.14285688
803,0.14119586
804,0.13621247
805,0.13122906
806,0.14285688
807,0.13621247
808,0.13372077
809,0.13621247
810,0.13621247
811,0.12624566
812,0.12292363
813,0.118770555
814,0.11627886
815,0.11129546
816,0.11461784
817,0.11461784
818,0.11129546
819,0.11295684
820,0.11295684
821,0.11295684
822,0.11378716
823,0.11129546
824,0.11461784
825,0.11710954
826,0.115448534
827,0.11627886
828,0.109634444
829,0.109634444
830,0.11295684
831,0.10797343
832,0.10797343
833,0.10631205
834,0.12541533
835,0.12043193
836,0.124584645
837,0.115448534
838,0.115448534
839,0.11378716
840,0.11295684
841,0.103820354
842,0.10631205
843,0.10465105
844,0.09883696
845,0.09883696
846,0.10299003
847,0.101328656
848,0.10049833
849,0.09966764
850,0.09966764
851,0.10548173
852,0.10465105
853,0.10299003
854,0.101328656
855,0.10215935
856,0.09634526
857,0.09966764
858,0.09551494
859,0.09385356
860,0.09551494
861,0.10049833
862,0.10299003
863,0.108803764
864,0.098006636
865,0.10631205
866,0.11129546
867,0.10548173
868,0.10215935
869,0.09966764
870,0.09966764
871,0.10465105
872,0.10465105
873,0.103820354
874,0.103820354
875,0.103820354
876,0.10548173
877,0.10465105
878,0.10465105
879,0.10797343
880,0.11295684
881,0.11212614
882,0.108803764
883,0.11710954
884,0.11960125
885,0.12043193
886,0.12956804
887,0.12541533
888,0.13205974
889,0.12790702
890,0.13621247
891,0.13538179
892,0.12790702
893,0.12126225
894,0.12043193
895,0.11295684
896,0.11960125
897,0.11627886
898,0.11129546
899,0.11794023
900,0.11461784
901,0.10465105
902,0.10299003
903,0.10299003
904,0.10631205
905,0.11129546
906,0.109634444
907,0.11129546
908,0.10714275
909,0.10465105
910,0.10714275
911,0.109634444
912,0.11378716
913,0.11960125
914,0.11710954
915,0.10714275
916,0.10548173
917,0.101328656
918,0.103820354
919,0.10299003
920,0.09883696
921,0.09717594
922,0.10049833
923,0.10465105
924,0.10299003
925,0.101328656
926,0.09634526
927,0.08970085
928,0.09385356
929,0.09634526
930,0.09634526
931,0.09634526
932,0.091361865
933,0.093023226
934,0.07973406
935,0.08970085
936,0.083056435
937,0.07973406
938,0.07308963
939,0.07392031
940,0.077242345
941,0.078073025
942,0.077242345
943,0.08471745
944,0.08637847
945,0.093023226
946,0.093023226
947,0.093023226
948,0.091361865
949,0.092192546
950,0.093023226
951,0.08554813
952,0.08720915
953,0.08720915
954,0.08720915
955,0.08720915
956,0.092192546
957,0.092192546
958,0.091361865
959,0.09634526
960,0.09634526
961,0.083056435
962,0.082225755
963,0.082225755
964,0.08139542
965,0.07973406
966,0.08554813
967,0.083056435
968,0.08554813
969,0.08471745
970,0.08139542
971,0.082225755
972,0.083887115
973,0.083887115
974,0.08139542
975,0.08471745
976,0.08637847
977,0.08139542
978,0.07973406
979,0.07973406
980,0.08139542
981,0.08139542
982,0.083887115
983,0.082225755
984,0.08139542
985,0.07890372
986,0.07558133
987,0.07641202
988,0.07475065
989,0.07641202
990,0.07641202
991,0.07641202
992,0.07475065
993,0.07475065
994,0.07475065
995,0.07641202
996,0.07641202
997,0.078073025
998,0.07558133
999,0.07392031
1000,0.07475065
1001,0.07392031
1002,0.07059793
1003,0.07308963
1004,0.07558133
1005,0.07475065
1006,0.07308963
1007,0.07558133
1008,0.07641202
1009,0.07558133
1010,0.07558133
1011,0.07475065
1012,0.07641202
1013,0.07475065
1014,0.07475065
1015,0.07392031
1016,0.07558133
1017,0.07973406
1018,0.08471745
1019,0.08637847
1020,0.08637847
1021,0.08471745
1022,0.08637847
1023,0.08803983
1024,0.08637847
1025,0.101328656
1026,0.09966764
1027,0.098006636
1028,0.092192546
1029,0.093023226
1030,0.09468424
1031,0.09053153
1032,0.09634526
1033,0.10299003
1034,0.09966764
1035,0.09883696
1036,0.101328656
1037,0.10049833
1038,0.09468424
1039,0.09966764
1040,0.098006636
1041,0.093023226
1042,0.09468424
1043,0.09468424
1044,0.09385356
1045,0.09468424
1046,0.09468424
1047,0.09468424
1048,0.091361865
1049,0.09053153
1050,0.08637847
1051,0.08637847
1052,0.08720915
1053,0.08471745
1054,0.083887115
1055,0.08471745
1056,0.08637847
1057,0.08554813
1058,0.08637847
1059,0.083887115
1060,0.08554813
1061,0.08637847
1062,0.08554813
1063,0.08471745
1064,0.083887115
1065,0.08471745
1066,0.08471745
1067,0.083887115
1068,0.08139542
1069,0.08139542
1070,0.08139542
1071,0.07973406
1072,0.082225755
1073,0.083887115
1074,0.08554813
1075,0.08471745
1076,0.083056435
1077,0.083056435
1078,0.083056435
1079,0.08056472
1080,0.07973406
1081,0.07973406
1082,0.07641202
1083,0.07392031
1084,0.077242345
1085,0.077242345
1086,0.07475065
1087,0.07475065
1088,0.077242345
1089,0.07392031
1090,0.07475065
1091,0.07558133
1092,0.07392031
1093,0.07641202
1094,0.07392031
1095,0.07558133
1096,0.07641202
1097,0.078073025
1098,0.07641202
1099,0.07142861
1100,0.07392031
1101,0.07475065
1102,0.07641202
1103,0.07475065
1104,0.078073025
1105,0.078073025
1106,0.07641202
1107,0.07558133
1108,0.07558133
1109,0.07641202
1110,0.07392031
1111,0.07308963
1112,0.07225895
1113,0.07142861
1114,0.07475065
1115,0.07641202
1116,0.07558133
1117,0.07890372
1118,0.08803983
1119,0.08803983
1120,0.08471745
1121,0.08637847
1122,0.08637847
1123,0.08637847
1124,0.08554813
1125,0.083887115
1126,0.083056435
1127,0.083056435
1128,0.083056435
1129,0.08554813
1130,0.08637847
1131,0.08471745
1132,0.08554813
1133,0.083887115
1134,0.083056435
1135,0.08471745
1136,0.083056435
1137,0.083887115
1138,0.083887115
1139,0.083056435
1140,0.08471745
1141,0.083887115
1142,0.083887115
1143,0.083887115
1144,0.083056435
1145,0.07973406
1146,0.082225755
1147,0.083887115
1148,0.08471745
1149,0.083056435
1150,0.07973406
